uruchamianie testow TS z dywersyfikacja, sasiedztwo: 0
nr;najlepszy znaleziony;najlepszy znany;czas [ms];blad wzgledny
61;88013;86793;20000.996000;0.014056
62;87598;87067;20000.140000;0.006099
63;97816;96563;20001.014000;0.012976
64;101563;100788;20000.943000;0.007689
65;56544;56510;20000.606000;0.000602
66;243898;243872;20001.378000;0.000107
67;401114;401023;20001.174000;0.000227
68;399127;399085;20000.758000;0.000105
69;309290;309232;20001.172000;0.000188
70;222728;222684;20001.075000;0.000198
71;640828;640816;20001.079000;0.000019
72;611404;611362;20001.181000;0.000069
73;623429;623429;20000.377000;0.000000
74;584631;584628;20000.550000;0.000005
75;575283;575274;20000.988000;0.000016
81;1863;1400;20000.205000;0.330714
82;444;317;20001.060000;0.400631
83;2324;1146;20000.987000;1.027923
84;136;136;20000.289000;0.000000
85;344;284;20000.468000;0.211268
86;68507;66850;20001.424000;0.024787
87;84457;84229;20000.949000;0.002707
88;56051;55544;20000.716000;0.009128
89;55821;54612;20001.150000;0.022138
90;75374;75061;20001.007000;0.004170
91;248805;248699;20000.481000;0.000426
92;311056;311022;20000.405000;0.000109
93;326327;326258;20000.819000;0.000211
94;274063;273993;20000.606000;0.000255
95;316882;316870;20001.268000;0.000038
96;495516;495516;20001.208000;0.000000
97;636907;636903;20000.290000;0.000006
98;680082;680082;20000.524000;0.000000
99;622464;622464;20000.887000;0.000000
100;449571;449545;20000.087000;0.000058
107;1262;1193;20000.306000;0.057837
109;286;232;20000.426000;0.232759
111;159194;159138;20001.416000;0.000352
112;174473;174377;20001.297000;0.000551
113;91412;91171;20001.332000;0.002643
114;168371;168297;20001.160000;0.000440
115;70276;70190;20000.339000;0.001225
116;370627;370614;20000.796000;0.000035
117;324481;324437;20001.332000;0.000136
118;246461;246243;20000.502000;0.000885
119;293606;293576;20000.435000;0.000102
120;267321;267316;20000.498000;0.000019
121;471214;471214;20000.919000;0.000000
122;570459;570459;20001.165000;0.000000
123;397094;397029;20000.563000;0.000164
124;431213;431115;20000.952000;0.000227
125;560754;560754;20000.112000;0.000000

uruchamianie testow TS bez dywersyfikacji, sasiedztwo: 0
nr;najlepszy znaleziony;najlepszy znany;czas [ms];blad wzgledny
1;6076;5988;20000.196000;0.014696
2;6312;6170;20000.876000;0.023015
3;4336;4267;20001.035000;0.016171
4;5011;5011;20000.407000;0.000000
5;5283;5283;20000.918000;0.000000
6;58540;58258;20000.112000;0.004841
7;51020;50972;20000.979000;0.000942
8;60249;59434;20000.904000;0.013713
9;41330;40978;20000.284000;0.008590
10;53526;53208;20001.088000;0.005977
11;181825;181649;20000.915000;0.000969
12;234563;234179;20000.516000;0.001640
13;179148;178840;20000.113000;0.001722
14;157862;157476;20000.402000;0.002451
15;173547;172995;20000.707000;0.003191
16;408237;407703;20000.421000;0.001310
17;334106;332804;20000.382000;0.003912
18;545846;544838;20001.210000;0.001850
19;478549;477684;20000.444000;0.001811
20;406792;406094;20001.200000;0.001719
21;898925;898925;20000.189000;0.000000
22;556873;556873;20000.767000;0.000000
23;539716;539716;20000.916000;0.000000
24;744290;744287;20001.101000;0.000004
25;585306;585306;20000.797000;0.000000
26;8;8;20000.385000;0.000000
27;1023;718;20001.019000;0.424791
28;99;27;20000.861000;2.666667
29;480;480;20000.473000;0.000000
30;50;50;20000.760000;0.000000
31;24266;24202;20000.435000;0.002644
32;25717;25469;20000.112000;0.009737
33;33643;32964;20000.802000;0.020598
34;22868;22215;20000.547000;0.029395
35;19172;19114;20001.061000;0.003034
36;108293;108293;20000.703000;0.000000
37;182703;181850;20000.123000;0.004691
38;92269;90440;20000.903000;0.020223
39;153753;151701;20000.962000;0.013527
40;130917;129728;20000.718000;0.009165
41;462438;462324;20000.713000;0.000247
42;425914;425875;20000.908000;0.000092
43;321113;320537;20000.183000;0.001797
44;360998;360193;20001.024000;0.002235
45;307351;306040;20000.272000;0.004284
46;829867;829828;20000.297000;0.000047
47;623357;623356;20000.221000;0.000002
48;749001;748988;20000.207000;0.000017
49;656747;656693;20000.087000;0.000082
50;599414;599269;20001.023000;0.000242
56;9510;9046;20001.187000;0.051293
57;11962;11539;20000.132000;0.036658
58;18834;16313;20000.546000;0.154539
59;7965;7965;20000.877000;0.000000
60;20061;19912;20000.736000;0.007483
