temp:1000000000.0
uruchamianie testow SA, sasiedztwo: 0
nr;najlepszy znaleziony;najlepszy znany;czas [ms];blad wzgledny
62;87240;87067;9892.968000;0.001987
63;97533;96563;10001.921000;0.010045
64;100788;100788;9500.716000;0.000000
65;56510;56510;9629.155000;0.000000
66;243934;243872;9605.180000;0.000254
67;401052;401023;9560.673000;0.000072
68;399085;399085;9499.248000;0.000000
69;309288;309232;9588.500000;0.000181
70;222702;222684;9618.618000;0.000081
71;640816;640816;9123.155000;0.000000
72;611367;611362;9124.564000;0.000008
73;623431;623429;9114.703000;0.000003
74;584628;584628;9192.706000;0.000000
75;575274;575274;9278.757000;0.000000
81;1400;1400;10003.852000;0.000000
82;317;317;10001.812000;0.000000
83;1146;1146;10003.775000;0.000000
84;136;136;9814.338000;0.000000
85;284;284;9997.935000;0.000000
86;68369;66850;10000.180000;0.022723
87;84229;84229;10003.640000;0.000000
88;55896;55544;10001.349000;0.006337
89;54612;54612;10003.525000;0.000000
90;75108;75061;10000.152000;0.000626
91;248699;248699;9646.163000;0.000000
92;311022;311022;9938.534000;0.000000
93;326314;326258;9741.277000;0.000172
94;274088;273993;9828.050000;0.000347
95;316870;316870;9821.776000;0.000000
96;495516;495516;9237.978000;0.000000
97;636907;636903;9153.233000;0.000006
98;680086;680082;9160.559000;0.000006
99;622464;622464;9160.151000;0.000000
100;449545;449545;9309.001000;0.000000
107;1193;1193;10001.402000;0.000000
109;232;232;10002.034000;0.000000
111;159135;159123;10001.906000;0.000075;
112;174395;174377;10002.367000;0.000103
113;91169;91169;10004.065000;0.00000;
114;168266;168266;10000.520000;0.000000;
115;70190;70190;10003.479000;0.000000
116;370631;370631;9647.205000;0.000000
117;324453;324437;9845.847000;0.000049
118;246276;246243;9994.795000;0.000134
119;293657;293576;9860.512000;0.000276
120;267337;267326;10002.851000;0.000041
121;471214;471214;9396.843000;0.000000
122;570467;570459;9268.533000;0.000014
123;397029;397029;9487.335000;0.000000
124;431115;431115;9399.643000;0.000000
125;560754;560754;9342.904000;0.000000

uruchamianie testow TS z dywersyfikacja, sasiedztwo: 0
nr;najlepszy znaleziony;najlepszy znany;czas [ms];blad wzgledny
1;5988;5988;10000.650000;0.000000
2;6182;6170;10001.018000;0.001945
3;4267;4267;10000.752000;0.000000
4;5011;5011;10000.439000;0.000000
5;5283;5283;10000.898000;0.000000
6;58258;58258;10000.978000;0.000000
7;51020;50972;10001.022000;0.000942
8;59434;59434;10000.308000;0.000000
9;41005;40978;10000.138000;0.000659
10;53436;53208;10000.161000;0.004285
11;181933;181649;10000.768000;0.001563
12;234315;234179;10000.344000;0.000581
13;179313;178840;10000.574000;0.002645
14;157721;157476;10000.113000;0.001556
15;173167;172995;10001.213000;0.000994
16;407751;407703;10000.135000;0.000118
17;332951;332804;10000.852000;0.000442
18;544868;544838;10000.547000;0.000055
19;477908;477684;10000.081000;0.000469
20;406539;406094;10001.076000;0.001096
21;898925;898925;10000.885000;0.000000
22;556873;556873;10000.895000;0.000000
23;539716;539716;10000.629000;0.000000
24;744290;744287;10000.446000;0.000004
25;585306;585306;10000.097000;0.000000
26;8;8;10001.099000;0.000000
27;863;718;10001.039000;0.201950
28;27;27;10000.518000;0.000000
29;506;480;10000.597000;0.054167
30;50;50;10000.879000;0.000000
31;24301;24202;10001.044000;0.004091
32;26045;25469;10000.230000;0.022616
33;33295;32964;10000.748000;0.010041
34;22382;22215;10001.052000;0.007517
35;19343;19114;10000.598000;0.011981
36;108293;108293;10000.732000;0.000000
37;182116;181850;10000.708000;0.001463
38;91039;90440;10000.974000;0.006623
39;153182;151701;10000.451000;0.009763
40;130594;129728;10000.865000;0.006676
41;462324;462324;10000.308000;0.000000
42;425978;425875;10000.603000;0.000242
43;320589;320537;10000.879000;0.000162
44;360213;360193;10001.315000;0.000056
45;306199;306040;10000.282000;0.000520
46;829829;829828;10000.138000;0.000001
47;623356;623356;10000.069000;0.000000
48;748988;748988;10000.524000;0.000000
49;656693;656693;10000.284000;0.000000
50;599269;599269;10000.791000;0.000000
56;9478;9046;10001.152000;0.047756
57;11539;11539;10000.686000;0.000000
58;17569;16313;10001.062000;0.076994
59;8004;7965;10000.404000;0.004896
60;19919;19912;10001.027000;0.000352
61;88055;86793;10000.814000;0.014540
62;87935;87067;10000.560000;0.009969
63;98138;96563;10000.112000;0.016311
64;101407;100788;10001.101000;0.006142
