temp: 0.12
uruchamianie testow SA, sasiedztwo: 0
nr;najlepszy znaleziony;najlepszy znany;czas [ms];blad wzgledny
57;187864;11539;1002.900000;15.280787
58;232529;16313;1000.182000;13.254214
59;242459;7965;1000.040000;29.440552
60;241366;19912;1001.561000;11.121635
61;520078;86793;1000.094000;4.992165
62;433592;87067;1002.510000;3.979981
63;753143;96563;1000.819000;6.799499
64;477642;100788;1001.498000;3.739076
65;376761;56510;1000.608000;5.667156
66;752994;243872;1001.439000;2.087661
67;872809;401023;1001.881000;1.176456
68;971655;399085;1000.182000;1.434707
69;960069;309232;1002.348000;2.104688
70;745737;222684;1001.454000;2.348858
71;1139468;640816;1000.829000;0.778152
72;1255344;611362;1001.831000;1.053356
73;1076312;623429;1002.665000;0.726439
74;1080780;584628;1002.537000;0.848663
75;1138578;575274;1002.312000;0.979193
81;238222;1400;1002.794000;169.158571
82;348808;317;1000.753000;1099.340694
83;168731;1146;1002.318000;146.234729
84;242330;136;1002.000000;1780.838235
85;240327;284;1002.681000;845.221831
86;520987;66850;1002.522000;6.793373
87;499165;84229;1002.907000;4.926284
88;553475;55544;1002.327000;8.964623
89;520005;54612;1000.337000;8.521808
90;568357;75061;1002.350000;6.571935
91;810904;248699;1000.503000;2.260584
92;828788;311022;1002.897000;1.664725
93;844528;326258;1002.948000;1.588528
94;876474;273993;1001.720000;2.198892
95;816194;316870;1002.729000;1.575801
96;1112535;495516;1002.716000;1.245205
97;1089713;636903;1001.119000;0.710956
98;1221046;680082;1001.102000;0.795439
99;1139120;622464;1001.611000;0.830017
100;1007438;449545;1000.189000;1.241017
107;446099;1193;1002.356000;372.930427
109;305686;232;1003.012000;1316.612069
111;560511;159138;1002.472000;2.522169
112;761440;174377;1002.831000;3.366631
113;546554;91171;1002.673000;4.994823
114;682098;168297;1002.292000;3.052942
115;500699;70190;1001.709000;6.133481
116;867328;370631;1002.427000;1.340139
117;953363;324437;1001.227000;1.938515
118;677160;246243;1002.373000;1.749966
119;964968;293576;1000.397000;2.286944
120;734401;267326;1002.829000;1.747211
121;1072288;471214;1002.475000;1.275586
122;1208826;570459;1001.900000;1.119041
123;815359;397029;1002.717000;1.053651
124;1020965;431115;1001.383000;1.368196
125;1109973;560754;1001.016000;0.979429

uruchamianie testow TS bez dywersyfikacji, sasiedztwo: 1
nr;najlepszy znaleziony;najlepszy znany;czas [ms];blad wzgledny
1;12819;5988;1000.265000;1.140782
2;17430;6170;1001.073000;1.824959
3;4336;4267;1000.293000;0.016171
4;18311;5011;1002.039000;2.654161
5;25730;5283;1001.131000;3.870339
6;169015;58258;1002.870000;1.901147
7;222390;50972;1002.951000;3.362984
8;173100;59434;1000.508000;1.912474
9;137585;40978;1000.495000;2.357533
10;147884;53208;1001.751000;1.779356
11;517799;181649;1001.101000;1.850547
12;505582;234179;1001.770000;1.158955
13;583000;178840;1001.574000;2.259897
14;465701;157476;1001.368000;1.957282
15;438191;172995;1002.297000;1.532969
16;840461;407703;1001.928000;1.061454
17;778212;332804;1001.657000;1.338349
18;915648;544838;1000.506000;0.680588
19;958700;477684;1000.466000;1.006975
20;867579;406094;1000.120000;1.136399
21;1527639;898925;1001.686000;0.699407
22;1029358;556873;1000.456000;0.848461
23;980913;539716;1001.167000;0.817461
24;1214794;744287;1002.187000;0.632158
25;1284580;585306;1001.659000;1.194715
26;8;8;1000.200000;0.000000
27;25858;718;1002.376000;35.013928
28;43370;27;1000.572000;1605.296296
29;11614;480;1000.933000;23.195833
30;61379;50;1001.287000;1226.580000
31;177867;24202;1001.982000;6.349269
32;188396;25469;1000.633000;6.397071
33;191984;32964;1000.527000;4.824050
34;205168;22215;1000.143000;8.235562
35;182310;19114;1002.106000;8.538035
36;416672;108293;1001.850000;2.847636
37;644390;181850;1002.072000;2.543525
38;427894;90440;1001.228000;3.731247
39;516150;151701;1000.197000;2.402417
40;473668;129728;1001.429000;2.651240
41;1143904;462324;1001.470000;1.474247
42;1002070;425875;1000.308000;1.352967
43;993933;320537;1000.326000;2.100837
44;767314;360193;1002.330000;1.130286
45;827985;306040;1001.532000;1.705480
46;1481834;829828;1001.187000;0.785712
47;1128252;623356;1001.536000;0.809964
48;1336265;748988;1001.189000;0.784094
49;1342541;656693;1000.499000;1.044397
50;1214258;599269;1002.440000;1.026232
56;202057;9046;1000.553000;21.336613
57;241667;11539;1001.028000;19.943496
58;248765;16313;1001.329000;14.249494
59;185651;7965;1002.732000;22.308349
60;220958;19912;1000.420000;10.096726
61;548082;86793;1002.739000;5.314818
62;458018;87067;1000.689000;4.260524
63;609629;96563;1000.398000;5.313277
64;522540;100788;1001.735000;4.184546
65;355529;56510;1000.361000;5.291435
66;766299;243872;1000.314000;2.142218
67;927977;401023;1002.653000;1.314024
68;972931;399085;1002.422000;1.437904
69;936458;309232;1002.443000;2.028335
70;764907;222684;1001.230000;2.434944
71;1143808;640816;1002.527000;0.784924
72;1250891;611362;1000.869000;1.046073
73;1182282;623429;1001.733000;0.896418
74;1143631;584628;1000.864000;0.956169
75;1102404;575274;1001.445000;0.916311
81;354319;1400;1002.127000;252.085000
82;240985;317;1001.360000;759.205047
83;223355;1146;1002.377000;193.899651
84;235301;136;1001.427000;1729.154412
85;201035;284;1000.116000;706.869718
86;562566;66850;1002.137000;7.415348
87;616172;84229;1000.593000;6.315438
88;450960;55544;1002.152000;7.118969
89;488692;54612;1001.095000;7.948436
90;503213;75061;1001.000000;5.704054
91;879206;248699;1002.499000;2.535221
92;863164;311022;1002.487000;1.775251
93;836127;326258;1001.095000;1.562779
94;967206;273993;1002.943000;2.530039
95;774100;316870;1000.938000;1.442958
96;1079163;495516;1001.679000;1.177857
97;1232823;636903;1002.140000;0.935653
98;1156038;680082;1002.107000;0.699851
99;1186843;622464;1001.736000;0.906685
100;1010608;449545;1002.086000;1.248069
107;344280;1193;1002.531000;287.583403
109;404307;232;1005.365000;1741.702586
111;644715;159138;1000.278000;3.051295
112;683829;174377;1001.608000;2.921555
113;621087;91171;1001.095000;5.812331
114;612984;168297;1002.527000;2.642275
115;529861;70190;1001.649000;6.548953
116;897752;370631;1001.464000;1.422226
117;928376;324437;1001.224000;1.861499
118;747501;246243;1000.465000;2.035623
119;927961;293576;1000.913000;2.160888
120;678056;267326;1000.751000;1.536439
121;1065377;471214;1001.185000;1.260920
122;1217551;570459;1000.609000;1.134336
123;801041;397029;1000.416000;1.017588
124;1128686;431115;1002.601000;1.618062
125;1235552;560754;1000.700000;1.203376
