uruchamianie testow SA, sasiedztwo: 0
nr;najlepszy znaleziony;najlepszy znany;czas [ms];blad wzgledny
87;84229;84229;5003.486000;0.000000
88;55892;55544;5001.627000;0.006265
89;54612;54612;5004.251000;0.000000
90;75061;75061;5001.979000;0.000000
91;248699;248699;5004.116000;0.000000
92;311034;311022;5004.233000;0.000039
93;326355;326258;5000.046000;0.000297
94;274096;273993;5004.042000;0.000376
95;316870;316870;5003.494000;0.000000
96;495516;495516;5000.492000;0.000000
97;636903;636903;5002.271000;0.000000
98;680082;680082;5001.152000;0.000000
99;622464;622464;4951.496000;0.000000
100;449545;449545;5000.749000;0.000000
107;1193;1193;5000.117000;0.000000
109;232;232;5000.566000;0.000000
111;159123;159123;5004.496000;0.000000
112;174387;174367;5004.441000;0.000115
113;91177;91169;5004.460000;0.000088
114;168266;168266;5003.974000;0.000000
115;70222;70190;5000.935000;0.000456
116;370614;370614;5000.286000;0.000000
117;324453;324437;5000.438000;0.000049
118;246237;246237;5003.373000;0.000000
119;293657;293571;5002.306000;0.000293
120;267321;267316;5003.853000;0.000019
121;471218;471214;5000.259000;0.000008
122;570485;570459;5001.692000;0.000046
123;397049;397029;5002.510000;0.000050
124;431176;431115;5002.611000;0.000141
125;560754;560754;5001.495000;0.000000

uruchamianie testow TS z dywersyfikacja, sasiedztwo: 0
nr;najlepszy znaleziony;najlepszy znany;czas [ms];blad wzgledny
1;5988;5988;5000.746000;0.000000
2;6182;6170;5000.730000;0.001945
3;4267;4267;5000.674000;0.000000
4;5011;5011;5000.806000;0.000000
5;5283;5283;5000.359000;0.000000
6;58258;58258;5000.759000;0.000000
7;51257;50972;5000.277000;0.005591
8;59476;59434;5000.840000;0.000707
9;41005;40978;5000.268000;0.000659
10;53342;53208;5000.121000;0.002518
11;181952;181649;5000.167000;0.001668
12;234315;234179;5000.430000;0.000581
13;179088;178840;5001.034000;0.001387
14;157965;157476;5000.067000;0.003105
15;173202;172995;5001.018000;0.001197
16;407910;407703;5000.587000;0.000508
17;361324;332804;5000.792000;0.085696
18;545448;544838;5000.659000;0.001120
19;477979;477684;5000.654000;0.000618
20;407062;406094;5001.100000;0.002384
21;898925;898925;5000.605000;0.000000
22;556891;556873;5000.148000;0.000032
23;539764;539716;5000.865000;0.000089
24;744290;744287;5001.091000;0.000004
25;585320;585306;5001.189000;0.000024
26;8;8;5000.182000;0.000000
27;848;718;5000.873000;0.181058
28;27;27;5000.963000;0.000000
29;480;480;5000.560000;0.000000
30;50;50;5000.275000;0.000000
31;24301;24202;5000.222000;0.004091
32;25918;25469;5001.375000;0.017629
33;33672;32964;5000.125000;0.021478
34;22704;22215;5000.599000;0.022012
35;19538;19114;5000.787000;0.022183
36;108293;108293;5000.706000;0.000000
37;182505;181850;5000.814000;0.003602
38;91327;90440;5000.499000;0.009808
39;153958;151701;5000.147000;0.014878
40;131045;129728;5000.050000;0.010152
41;462473;462324;5001.357000;0.000322
42;430713;425875;5000.136000;0.011360
43;364828;320537;5000.152000;0.138177
44;374003;360193;5000.222000;0.038341
45;307301;306040;5000.185000;0.004120
46;829914;829828;5000.456000;0.000104
47;623380;623356;5001.262000;0.000039
48;776433;748988;5000.641000;0.036643
49;656696;656693;5000.968000;0.000005
50;599289;599269;5000.900000;0.000033
56;9489;9046;5000.899000;0.048972
57;11539;11539;5000.626000;0.000000
58;17391;16313;5001.068000;0.066082
59;7965;7965;5001.179000;0.000000
60;20026;19912;5000.704000;0.005725
61;89062;86793;5000.305000;0.026143
62;88956;87067;5001.079000;0.021696
63;98264;96563;5001.077000;0.017615
64;101860;100788;5001.242000;0.010636
65;56544;56510;5000.620000;0.000602
66;270124;243872;5001.077000;0.107647
67;458562;401023;5001.262000;0.143481
68;500798;399085;5001.241000;0.254866
69;323153;309232;5000.487000;0.045018
70;306155;222684;5000.180000;0.374841
71;641058;640816;5000.548000;0.000378
72;613672;611362;5001.200000;0.003778
73;639795;623429;5000.289000;0.026252
74;585007;584628;5000.270000;0.000648
75;575418;575274;5000.824000;0.000250
81;2407;1400;5000.565000;0.719286
82;503;317;5001.418000;0.586751
83;2203;1146;5000.674000;0.922339
84;136;136;5000.314000;0.000000
85;512;284;5000.390000;0.802817
86;95679;66850;5001.645000;0.431249
87;85642;84229;5001.057000;0.016776
88;145992;55544;5000.134000;1.628403
89;57053;54612;5000.940000;0.044697
90;103284;75061;5000.245000;0.376001
91;288317;248699;5000.213000;0.159301
92;326727;311022;5001.292000;0.050495
93;327864;326258;5001.266000;0.004922
94;321298;273993;5000.468000;0.172650
95;332810;316870;5000.784000;0.050305
96;518093;495516;5000.856000;0.045563
97;713899;636903;5001.118000;0.120891
98;680122;680082;5000.152000;0.000059
99;634941;622464;5000.744000;0.020045
100;478062;449545;5000.154000;0.063435
107;1643;1193;5000.094000;0.377200
109;29444;232;5000.532000;125.913793
111;160644;159123;5001.242000;0.009559
112;292189;174367;5000.806000;0.675713
113;182830;91169;5000.223000;1.005397
114;252179;168266;5000.176000;0.498693
115;141575;70190;5001.613000;1.017025
116;370707;370614;5000.073000;0.000251
117;415169;324437;5000.363000;0.279660
118;325145;246237;5000.116000;0.320455
